platform,last_seen_source_id,last_reconciliation_run_at,last_reconciliation_rows_scanned,last_reconciliation_rows_changed,status,lock_acquired_at,updated_at
myntra,52329,2026-08-20 16:04:50.022+05:30,16872,0,idle,,2026-08-20 16:04:50.027+05:30
flipkart,17837,2026-08-20 12:31:05.544+05:30,2895,0,idle,,2026-08-20 12:31:05.549+05:30
